,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.9420476470982991,0.948668231452189,660.6089477539062,13.4773530960083,9.359415054321289,0.6368116385838336,0.6457801816511889,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.8413787770735432,0.8592028840376527,357.12591552734375,7.32582950592041,1.5796732902526855,0.4660217155801953,0.4856799519327058,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.3749834417082427,0.38666666666666666,700.2335815429688,-0.9804105162620544,-0.9401453137397766,0.22886091426020883,0.23333333333333334,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.1789206613612131,0.215,742.699951171875,-4.436077117919922,-3.9639945030212402,0.21701918770437806,0.22,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.7615464744016106,0.7755450236966824,455.1136779785156,6.707714557647705,3.8168869018554688,0.29529020516527354,0.32303317535545023,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.6367268210747857,0.636,705.5601806640625,1.7374608516693115,0.5250592231750488,0.28803773061168475,0.292,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.4664474883965457,0.4666666666666667,1018.1295166015625,1.143693208694458,0.7385656237602234,0.2905985729719593,0.3,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.6692856907306965,0.7029787234042553,295.8448181152344,3.0482094287872314,0.0070138536393642426,0.25616901647897183,0.2782978723404255,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.9499826941557131,0.95,720.2166137695312,1.9576705694198608,-1.3616118431091309,0.44365776992615225,0.454,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.9244741358582113,0.9228571428571428,347.6981201171875,1.5519119501113892,-0.914469838142395,0.4158166030248956,0.41714285714285715,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
10,flowers,RN50 openai,RN50,openai,0.6568986568986569,0.8467643467643468,0.59836,0.9635134802129489,0.9687990580847724,514.1784057617188,16.018203735351562,6.015456199645996,0.7872042469400715,0.7943485086342229,0.7502390742301941,0.7997622489929199,0.5845695734024048,0.57808518409729
11,gtsrb,RN50 openai,RN50,openai,0.3507521773555028,0.6303246239113223,0.59836,0.7071709460282243,0.718139534883721,627.3285522460938,8.238811492919922,6.197288990020752,0.317830549945752,0.32744186046511625,0.9538191556930542,0.8117638230323792,0.7881810665130615,0.6914697885513306
12,imagenet1k,RN50 openai,RN50,openai,0.59836,0.86538,0.59836,0.6319788694623704,0.6458487880185255,467.0438232421875,8.198714256286621,7.718627452850342,0.3522281238517362,0.3731780179240933,0.824849545955658,0.7115932703018188,0.672161877155304,0.7368203401565552
13,kitti_closest_vehicle_distance,RN50 openai,RN50,openai,0.1673699015471167,1.0,0.59836,0.7514170001905851,0.765,465.54461669921875,-0.9281141757965088,-4.00962495803833,0.40140437982071897,0.4,0.9299591779708862,0.7601959705352783,0.7437426447868347,0.8131975531578064
14,mnist,RN50 openai,RN50,openai,0.5743333333333334,0.90735,0.59836,0.3782374769118548,0.418,624.01123046875,-4.112975597381592,-4.27752685546875,0.24404735831450003,0.246,0.9750857353210449,0.7359105348587036,0.7276938557624817,0.8294203877449036
15,pcam,RN50 openai,RN50,openai,0.602294921875,1.0,0.59836,0.9194847020933978,0.92,1400.222900390625,0.30021095275878906,-2.559333324432373,0.6788438378161381,0.68,0.9581174850463867,0.7167333364486694,0.6945861577987671,0.6296050548553467
16,pets,RN50 openai,RN50,openai,0.8579994548923412,0.992913600436086,0.59836,0.9672991081343744,0.9708108108108108,488.1847229003906,13.049514770507812,4.970063209533691,0.7841692189154987,0.7951351351351351,0.7293567061424255,0.7252554297447205,0.5331763029098511,0.5647096633911133
17,renderedsst2,RN50 openai,RN50,openai,0.5656232839099395,1.0,0.59836,0.7898108297467722,0.79,3109.054443359375,0.21670877933502197,-0.9463624954223633,0.5601023017902813,0.57,0.9816573262214661,0.77998948097229,0.77552330493927,0.774692714214325
18,resisc45,RN50 openai,RN50,openai,0.5380952380952381,0.8682539682539683,0.59836,0.8095166463922502,0.8208888888888889,398.235595703125,5.609590530395508,1.2879033088684082,0.41175533357771593,0.42488888888888887,0.8947016000747681,0.7650179266929626,0.6963770389556885,0.7210544943809509
